delay (sa=1.4) X,delay (sa=1.4) Y,delay (sa=1) X,delay (sa=1) Y,delay (sa=1.2) X,delay (sa=1.2) Y,delay (sa=1.6) X,delay (sa=1.6) Y,delay (sa=1.8) X,delay (sa=1.8) Y,delay (sa=2) X,delay (sa=2) Y,delay (sa=2.2) X,delay (sa=2.2) Y,delay (sa=2.4) X,delay (sa=2.4) Y,delay (sa=2.6) X,delay (sa=2.6) Y,delay (sa=2.8) X,delay (sa=2.8) Y,delay (sa=3) X,delay (sa=3) Y,delay (sa=3.2) X,delay (sa=3.2) Y,delay (sa=3.4) X,delay (sa=3.4) Y,delay (sa=3.6) X,delay (sa=3.6) Y,delay (sa=3.8) X,delay (sa=3.8) Y,delay (sa=4) X,delay (sa=4) Y
1.8,4.96257996553426e-10,1.8,5.024512160764168e-10,1.8,4.988589891784771e-10,1.8,4.943885612900902e-10,1.8,4.929587771408487e-10,1.8,4.918332834263299e-10,1.8,4.909356068216374e-10,1.8,4.901987829791221e-10,1.8,4.89584571516401e-10,1.8,4.890597467445486e-10,1.8,4.886084094508386e-10,1.8,4.882154140366496e-10,1.8,4.878825942404227e-10,1.8,4.875939042825228e-10,1.8,4.873354045753961e-10,1.8,4.869175086970865e-10
2,4.506850250311878e-10,2,4.579881376358114e-10,2,4.53560114878842e-10,2,4.48579198890203e-10,2,4.469991493901808e-10,2,4.458773101188096e-10,2,4.449063394050061e-10,2,4.440653420188554e-10,2,4.43362612759394e-10,2,4.427597991851817e-10,2,4.422793982326881e-10,2,4.418378766589583e-10,2,4.414528249711741e-10,2,4.410785657159152e-10,2,4.407152181549681e-10,2,4.403826726073979e-10
2.2,4.145248468434105e-10,2.2,4.22102424699209e-10,2.2,4.176781981584081e-10,2.2,4.121978047922747e-10,2.2,4.104690884575215e-10,2.2,4.090665741088026e-10,2.2,4.078984588612903e-10,2.2,4.069957876472367e-10,2.2,4.062469376723211e-10,2.2,4.056114350321404e-10,2.2,4.050631719182888e-10,2.2,4.04577391016756e-10,2.2,4.04157733503325e-10,2.2,4.03785053408671e-10,2.2,4.034705964752389e-10,2.2,4.032086311565974e-10
2.4,3.842388549718693e-10,2.4,3.932205236948608e-10,2.4,3.879477323501171e-10,2.4,3.817910025291759e-10,2.4,3.800301766484641e-10,2.4,3.785374245482013e-10,2.4,3.77436083506772e-10,2.4,3.765149014093634e-10,2.4,3.756879680539547e-10,2.4,3.749834596311742e-10,2.4,3.743788781047098e-10,2.4,3.738564745507941e-10,2.4,3.733986576478363e-10,2.4,3.73007622632273e-10,2.4,3.726472619633189e-10,2.4,3.723160885580016e-10
2.6,3.59673904042253e-10,2.6,3.68592137241077e-10,2.6,3.632693910050011e-10,2.6,3.570018551875224e-10,2.6,3.54951316230214e-10,2.6,3.533711942783337e-10,2.6,3.520644494286444e-10,2.6,3.509555464848901e-10,2.6,3.500426765839237e-10,2.6,3.492937585684346e-10,2.6,3.486782926479065e-10,2.6,3.481106181170733e-10,2.6,3.476213799330521e-10,2.6,3.471921887819493e-10,2.6,3.467954236765789e-10,2.6,3.464486839875215e-10
2.8,3.381230131977437e-10,2.8,3.486135429585769e-10,2.8,3.425460765617939e-10,2.8,3.353201683791165e-10,2.8,3.330691680298227e-10,2.8,3.313749973199054e-10,2.8,3.29945975999854e-10,2.8,3.289401797374245e-10,2.8,3.281253835311656e-10,2.8,3.273362565074967e-10,2.8,3.266403703738827e-10,2.8,3.260296750776211e-10,2.8,3.254921286207731e-10,2.8,3.250102156034875e-10,2.8,3.245910627667397e-10,2.8,3.242405124563517e-10
3,3.207892679846524e-10,3,3.309637829416858e-10,3,3.250671782126141e-10,3,3.175687302044511e-10,3,3.152328167305439e-10,3,3.134955987827047e-10,3,3.120293820516667e-10,3,3.108725023945505e-10,3,3.099031654720335e-10,3,3.090713282020758e-10,3,3.083325642112774e-10,3,3.076894620072329e-10,3,3.071248916645248e-10,3,3.066261518457787e-10,3,3.061801266454578e-10,3,3.057835710596478e-10
3.2,3.052461662972728e-10,3.2,3.162492559823584e-10,3.2,3.092283233133785e-10,3.2,3.021064497490028e-10,3.2,2.99663950704179e-10,3.2,2.977250979088531e-10,3.2,2.961275401493881e-10,3.2,2.948783819405916e-10,3.2,2.937799257894416e-10,3.2,2.928141981834956e-10,3.2,2.919931937788774e-10,3.2,2.913262983974397e-10,3.2,2.907289821556468e-10,3.2,2.902043436568583e-10,3.2,2.897391386341496e-10,3.2,2.893265179243831e-10
3.4,2.915734528915204e-10,3.4,3.038649699361867e-10,3.4,2.968192581956945e-10,3.4,2.880393761431451e-10,3.4,2.856840662589728e-10,3.4,2.83647739398019e-10,3.4,2.818583464917008e-10,3.4,2.80537820343647e-10,3.4,2.793147750811618e-10,3.4,2.78246062503581e-10,3.4,2.772522229272399e-10,3.4,2.765018818780048e-10,3.4,2.758745714190701e-10,3.4,2.753390756347689e-10,3.4,2.748275290823525e-10,3.4,2.74412818803703e-10
3.6,2.803371301017522e-10,3.6,2.927390756062043e-10,3.6,2.853643596867378e-10,3.6,2.764001524235961e-10,3.6,2.73291594742907e-10,3.6,2.710217903014676e-10,3.6,2.693743895484763e-10,3.6,2.681663034988245e-10,3.6,2.668771459001123e-10,3.6,2.65960583887516e-10,3.6,2.651903958443237e-10,3.6,2.645224675623677e-10,3.6,2.63841893294209e-10,3.6,2.632478035873471e-10,3.6,2.626710817499131e-10,3.6,2.622405512342409e-10
3.8,2.701328202343766e-10,3.8,2.827027714929468e-10,3.8,2.749932481754857e-10,3.8,2.663061236091988e-10,3.8,2.632193512846314e-10,3.8,2.608277144813202e-10,3.8,2.589996247324652e-10,3.8,2.575972748852845e-10,3.8,2.563313445641925e-10,3.8,2.553115566311916e-10,3.8,2.544454814110827e-10,3.8,2.536977917489644e-10,3.8,2.530158232658284e-10,3.8,2.523881157812096e-10,3.8,2.518314659361662e-10,3.8,2.513105119913833e-10
4,2.605212066006429e-10,4,2.741099781274589e-10,4,2.658654483294172e-10,4,2.570087598675719e-10,4,2.540283040301326e-10,4,2.515947669216477e-10,4,2.496514210851793e-10,4,2.480968325734388e-10,4,2.468075098909873e-10,4,2.456776284527706e-10,4,2.447253148658605e-10,4,2.43888663421436e-10,4,2.431409012199237e-10,4,2.424832684673578e-10,4,2.419065027964993e-10,4,2.413861843119059e-10
4.2,2.525885474301801e-10,4.2,2.670417019703729e-10,4.2,2.584520364511829e-10,4.2,2.483415449153478e-10,4.2,2.455248142793117e-10,4.2,2.431239507055136e-10,4.2,2.411317760977424e-10,4.2,2.394744839221226e-10,4.2,2.380579760912419e-10,4.2,2.368929265128811e-10,4.2,2.358628746750976e-10,4.2,2.349442737433087e-10,4.2,2.341201784130323e-10,4.2,2.333710776153601e-10,4.2,2.327673165543727e-10,4.2,2.322560920291226e-10
4.4,2.457421870898615e-10,4.4,2.60691396888945e-10,4.4,2.517186973512108e-10,4.4,2.407723088136091e-10,4.4,2.37547956042828e-10,4.4,2.352365506035207e-10,4.4,2.332687227374635e-10,4.4,2.315642226062261e-10,4.4,2.300639932364087e-10,4.4,2.286922572948431e-10,4.4,2.277180337599186e-10,4.4,2.267259762391385e-10,4.4,2.258294885193855e-10,4.4,2.249930519111522e-10,4.4,2.242681095121356e-10,4.4,2.237788061650592e-10
4.6,2.393432464804562e-10,4.6,2.54845609714755e-10,4.6,2.45574104196682e-10,4.6,2.345384345584726e-10,4.6,2.306335732343488e-10,4.6,2.277702380275202e-10,4.6,2.259106081989848e-10,4.6,2.242183024675393e-10,4.6,2.226796850098993e-10,4.6,2.212199683999773e-10,4.6,2.201708221697489e-10,4.6,2.191239149600408e-10,4.6,2.181501629531111e-10,4.6,2.172565796842903e-10,4.6,2.165821921073459e-10,4.6,2.159592332471569e-10
4.8,2.334428722764437e-10,4.8,2.494194139375616e-10,4.8,2.398705778986036e-10,4.8,2.287303236224302e-10,4.8,2.248586859905612e-10,4.8,2.217405982296438e-10,4.8,2.192282844182499e-10,4.8,2.173051651043984e-10,4.8,2.157769061338795e-10,4.8,2.143350709141689e-10,4.8,2.133525708640187e-10,4.8,2.122642921032677e-10,4.8,2.114639735946086e-10,4.8,2.107864036730161e-10,4.8,2.10207062795642e-10,4.8,2.095620360876334e-10
5,2.280144698163665e-10,5,2.44787904589031e-10,5,2.346061723365678e-10,5,2.232165252274363e-10,5,2.19437666000533e-10,5,2.163511159363958e-10,5,2.138216248828563e-10,5,2.1173057211679e-10,5,2.100359614497752e-10,5,2.08674158429245e-10,5,2.075887696426704e-10,5,2.065193650013569e-10,5,2.056679117134598e-10,5,2.049457683112629e-10,5,2.043155806144689e-10,5,2.03634693736356e-10
5.2,2.229088125580786e-10,5.2,2.410568017873682e-10,5.2,2.301175037206293e-10,5.2,2.178830504792032e-10,5.2,2.143109423389892e-10,5.2,2.112989652551285e-10,5.2,2.087767810922359e-10,5.2,2.066575514208396e-10,5.2,2.049028966292329e-10,5.2,2.034596459853045e-10,5.2,2.022777852333205e-10,5.2,2.013042843941351e-10,5.2,2.002977779345579e-10,5.2,1.995282432426176e-10,5.2,1.98858963196753e-10,5.2,1.981593816812086e-10
5.4,2.188967476347868e-10,5.4,2.375282143954436e-10,5.4,2.263829754515238e-10,5.4,2.135434924657526e-10,5.4,2.094058214712018e-10,5.4,2.064837284628335e-10,5.4,2.040281310635326e-10,5.4,2.019148503753043e-10,5.4,2.001285577592699e-10,5.4,1.986272754718217e-10,5.4,1.973696441254618e-10,5.4,1.96314636850811e-10,5.4,1.953136913726634e-10,5.4,1.944947944449474e-10,5.4,1.937849002454509e-10,5.4,1.93073124930867e-10
5.6,2.152617793492919e-10,5.6,2.342931873537209e-10,5.6,2.229595865911144e-10,5.6,2.09670080392914e-10,5.6,2.0536322264678e-10,5.6,2.018631712133439e-10,5.6,1.995225624588874e-10,5.6,1.974363913323468e-10,5.6,1.956499114887977e-10,5.6,1.941153349016031e-10,5.6,1.928034036276402e-10,5.6,1.916788742920845e-10,5.6,1.907025924333976e-10,5.6,1.897919063814698e-10,5.6,1.890419846925528e-10,5.6,1.883258669193861e-10
5.8,2.118743475022127e-10,5.8,2.312393121838306e-10,5.8,2.197826550842294e-10,5.8,2.061425145977757e-10,5.8,2.017880499366309e-10,5.8,1.98211657648081e-10,5.8,1.952068736401254e-10,5.8,1.931679007401032e-10,5.8,1.914106999794433e-10,5.8,1.898695781041696e-10,5.8,1.885248617533476e-10,5.8,1.873504918040916e-10,5.8,1.863132777064613e-10,5.8,1.853744297879582e-10,5.8,1.845935033890061e-10,5.8,1.838837390864387e-10
6,2.087197974481706e-10,6,2.287701387742717e-10,6,2.168280416369573e-10,6,2.028589284816646e-10,6,1.98417148343338e-10,6,1.948173978963047e-10,6,1.918317317056326e-10,6,1.892648166333153e-10,6,1.873574855354013e-10,6,1.858401252479023e-10,6,1.844855513909055e-10,6,1.832804292613637e-10,6,1.82199151044641e-10,6,1.812089085025626e-10,6,1.803958936244733e-10,6,1.797068307256316e-10
6.2,2.057827862470243e-10,6.2,2.266879902024209e-10,6.2,2.140216062454905e-10,6.2,1.997904312898274e-10,6.2,1.952218616549683e-10,6.2,1.916202638020115e-10,6.2,1.88637154027393e-10,6.2,1.860616610802524e-10,6.2,1.83895152064305e-10,6.2,1.820360619792731e-10,6.2,1.806405691109902e-10,6.2,1.794247226886617e-10,6.2,1.783160338762624e-10,6.2,1.772870747452058e-10,6.2,1.764060094322221e-10,6.2,1.757490840991476e-10
6.4,2.030206489226315e-10,6.4,2.248137005344811e-10,6.4,2.118073567278814e-10,6.4,1.968956056313795e-10,6.4,1.922311491862571e-10,6.4,1.885895655912335e-10,6.4,1.855954108891788e-10,6.4,1.83043348514296e-10,6.4,1.808526903482861e-10,6.4,1.789695745111945e-10,6.4,1.773540250941914e-10,6.4,1.759716317312884e-10,6.4,1.747881344699079e-10,6.4,1.737754412053626e-10,6.4,1.72868851752791e-10,6.4,1.720423040454044e-10
