power delay (sa=1.4) X,power delay (sa=1.4) Y,power delay (sa=1) X,power delay (sa=1) Y,power delay (sa=1.2) X,power delay (sa=1.2) Y,power delay (sa=1.6) X,power delay (sa=1.6) Y,power delay (sa=1.8) X,power delay (sa=1.8) Y,power delay (sa=2) X,power delay (sa=2) Y,power delay (sa=2.2) X,power delay (sa=2.2) Y,power delay (sa=2.4) X,power delay (sa=2.4) Y,power delay (sa=2.6) X,power delay (sa=2.6) Y,power delay (sa=2.8) X,power delay (sa=2.8) Y,power delay (sa=3) X,power delay (sa=3) Y,power delay (sa=3.2) X,power delay (sa=3.2) Y,power delay (sa=3.4) X,power delay (sa=3.4) Y,power delay (sa=3.6) X,power delay (sa=3.6) Y,power delay (sa=3.8) X,power delay (sa=3.8) Y,power delay (sa=4) X,power delay (sa=4) Y
1,4.191685681260631e-15,1,4.089289778351235e-15,1,4.139593805471661e-15,1,4.246153413594267e-15,1,4.301943237142229e-15,1,4.358724104640987e-15,1,4.416320047562997e-15,1,4.474468043352579e-15,1,4.53203040939339e-15,1,4.591270782023749e-15,1,4.650306183981872e-15,1,4.709508633139014e-15,1,4.768983943964148e-15,1,4.82862706582167e-15,1,4.888335809314788e-15,1,4.946233936993235e-15
1.2,4.962769995841567e-15,1.2,4.857891885198701e-15,1.2,4.910373383311212e-15,1.2,5.017402642924823e-15,1.2,5.073325849534205e-15,1.2,5.130170970730064e-15,1.2,5.187837809236853e-15,1.2,5.246043374648262e-15,1.2,5.304672833709865e-15,1.2,5.363578978139654e-15,1.2,5.422544312595867e-15,1.2,5.481833685104472e-15,1.2,5.540730223199987e-15,1.2,5.60041678749009e-15,1.2,5.660154012340293e-15,1.2,5.717786194106376e-15
1.4,5.679741045161889e-15,1.4,5.572023348693941e-15,1.4,5.625792442363381e-15,1.4,5.735161522913015e-15,1.4,5.791524083757699e-15,1.4,5.848750323644056e-15,1.4,5.906735748063882e-15,1.4,5.965185490234577e-15,1.4,6.024031210438519e-15,1.4,6.083114688460718e-15,1.4,6.142437814009808e-15,1.4,6.201903703540896e-15,1.4,6.261339171409684e-15,1.4,6.321201457218547e-15,1.4,6.380330876803977e-15,1.4,6.437772608141223e-15
1.6,6.355012591397221e-15,1.6,6.243583242385886e-15,1.6,6.299451573464229e-15,1.6,6.411998815877736e-15,1.6,6.46909112719855e-15,1.6,6.527134588768226e-15,1.6,6.585597513898109e-15,1.6,6.644476605798214e-15,1.6,6.703652575541721e-15,1.6,6.763033322313806e-15,1.6,6.822593142572311e-15,1.6,6.882276477901239e-15,1.6,6.942243464456748e-15,1.6,7.0023585341259e-15,1.6,7.062026159421016e-15,1.6,7.119404071893046e-15
1.8,6.993922137964491e-15,1.8,6.877948289275965e-15,1.8,6.937189463733407e-15,1.8,7.05252485159867e-15,1.8,7.11134086411403e-15,1.8,7.169863685275099e-15,1.8,7.229262383358037e-15,1.8,7.288638193402447e-15,1.8,7.348271680878585e-15,1.8,7.408003008894949e-15,1.8,7.467878385104655e-15,1.8,7.52785799616363e-15,1.8,7.588078068287539e-15,1.8,7.648417484242407e-15,1.8,7.708762942027656e-15,1.8,7.764795515012816e-15
2,6.901279456180355e-15,2,6.815419226284044e-15,2,6.855367969928249e-15,2,6.948698020082431e-15,2,6.998972405984281e-15,2,7.051945541209667e-15,2,7.103580839223811e-15,2,7.155049828163194e-15,2,7.207572375393747e-15,2,7.259954885020506e-15,2,7.313285040763426e-15,2,7.366439378526976e-15,2,7.41979057179672e-15,2,7.472719263431693e-15,2,7.525301089784399e-15,2,7.577962101562945e-15
2.2,6.824133667427039e-15,2.2,6.755455021235856e-15,2.2,6.788746746281131e-15,2.2,6.862298052921429e-15,2.2,6.903524607460814e-15,2.2,6.946869850888211e-15,2.2,6.990983459819454e-15,2.2,7.035874418351495e-15,2.2,7.081965964849726e-15,2.2,7.128638619445058e-15,2.2,7.176367269723212e-15,2.2,7.223737295780037e-15,2.2,7.271551015602487e-15,2.2,7.319566213904677e-15,2.2,7.368089558632271e-15,2.2,7.41712345909563e-15
2.4,6.740115690305237e-15,2.4,6.707267960642633e-15,2.4,6.720122015327986e-15,2.4,6.770767192851455e-15,2.4,6.806515457511933e-15,2.4,6.842221076059917e-15,2.4,6.882929357431695e-15,2.4,6.924405182855318e-15,2.4,6.964298769974712e-15,2.4,7.005377024780255e-15,2.4,7.047159900286357e-15,2.4,7.090194891628686e-15,2.4,7.133085570496446e-15,2.4,7.176599013827881e-15,2.4,7.220137811697462e-15,2.4,7.263765355733773e-15
2.6,6.671209281487732e-15,2.6,6.649367984531117e-15,2.6,6.654808241493661e-15,2.6,6.69286551414747e-15,2.6,6.718792343239493e-15,2.6,6.748595636060392e-15,2.6,6.780063207425579e-15,2.6,6.814120239031622e-15,2.6,6.849903669491753e-15,2.6,6.885888430644869e-15,2.6,6.923707513921355e-15,2.6,6.961509526400144e-15,2.6,7.000780030250214e-15,2.6,7.039939243105078e-15,2.6,7.079182032355983e-15,2.6,7.118960589189464e-15
2.8,6.587158541327574e-15,2.8,6.606803080374193e-15,2.8,6.592193582235883e-15,2.8,6.601493266270217e-15,2.8,6.618969531486801e-15,2.8,6.642442201170115e-15,2.8,6.667578490885503e-15,2.8,6.698636191249454e-15,2.8,6.734042077091072e-15,2.8,6.76627184578887e-15,2.8,6.799179043620529e-15,2.8,6.832281861162315e-15,2.8,6.866652968102583e-15,2.8,6.901464193038974e-15,2.8,6.93775933808937e-15,2.8,6.974341944985197e-15
3,6.525682493013795e-15,3,6.551155319623847e-15,3,6.533274584875862e-15,3,6.526999665242072e-15,3,6.538647734839035e-15,3,6.557575715197748e-15,3,6.578469888829628e-15,3,6.603187903841395e-15,3,6.630849909578487e-15,3,6.660447901937532e-15,3,6.689503985923596e-15,3,6.719608987212364e-15,3,6.750006972849885e-15,3,6.781732631424998e-15,3,6.81473212013224e-15,3,6.847601681476033e-15
3.2,6.450621585817768e-15,3.2,6.505064420000069e-15,3.2,6.457262519912095e-15,3.2,6.449028530883521e-15,3.2,6.454589851626207e-15,3.2,6.465579300412231e-15,3.2,6.480338153559699e-15,3.2,6.499990822688801e-15,3.2,6.52091320343903e-15,3.2,6.545120826153173e-15,3.2,6.569996544981417e-15,3.2,6.596915571676179e-15,3.2,6.624572076966204e-15,3.2,6.652559378130844e-15,3.2,6.681944557561277e-15,3.2,6.712690705858761e-15
