power (sa=2) X,power (sa=2) Y,power (sa=1) X,power (sa=1) Y,power (sa=1.2) X,power (sa=1.2) Y,power (sa=1.4) X,power (sa=1.4) Y,power (sa=1.6) X,power (sa=1.6) Y,power (sa=1.8) X,power (sa=1.8) Y,power (sa=2.2) X,power (sa=2.2) Y,power (sa=2.4) X,power (sa=2.4) Y,power (sa=2.6) X,power (sa=2.6) Y,power (sa=2.8) X,power (sa=2.8) Y,power (sa=3) X,power (sa=3) Y,power (sa=3.2) X,power (sa=3.2) Y,power (sa=3.4) X,power (sa=3.4) Y,power (sa=3.6) X,power (sa=3.6) Y,power (sa=3.8) X,power (sa=3.8) Y,power (sa=4) X,power (sa=4) Y
1,8.862198333297355e-06,1,8.138680229065865e-06,1,8.298124109758472e-06,1,8.446585667883263e-06,1,8.58869671764669e-06,1,8.726780892498589e-06,1,8.995721610324135e-06,1,9.127864447478952e-06,1,9.25688976545203e-06,1,9.387954769505731e-06,1,9.517450158519556e-06,1,9.646374321121861e-06,1,9.774859772132083e-06,1,9.902968481377602e-06,1,1.003074220222904e-05,1,1.015825853177588e-05
1.2,1.043071126661255e-05,1.2,9.66838516808341e-06,1.2,9.843209183015092e-06,1.2,1.000038292643872e-05,1.2,1.014870293485772e-05,1.2,1.029158234885155e-05,1.2,1.056724698137785e-05,1.2,1.070186943909996e-05,1.2,1.083504902386851e-05,1.2,1.096712418849148e-05,1.2,1.10979348855056e-05,1.2,1.122830932309105e-05,1.2,1.135668763060971e-05,1.2,1.148582198895802e-05,1.2,1.1614493753582e-05,1.2,1.174282315172083e-05
1.4,1.189173348110777e-05,1.4,1.108968029215896e-05,1.4,1.127731997298066e-05,1.4,1.144513757885697e-05,1.4,1.160051419463935e-05,1.4,1.174849572077492e-05,1.4,1.203158961376755e-05,1.4,1.216891126081935e-05,1.4,1.230437305607927e-05,1.4,1.243838759773889e-05,1.4,1.257128959551367e-05,1.4,1.270321158494871e-05,1.4,1.283370065939301e-05,1.4,1.296406989853569e-05,1.4,1.309227857631852e-05,1.4,1.322148514512792e-05
1.6,1.327103066977757e-05,1.6,1.242624764875942e-05,1.6,1.262771987699007e-05,1.6,1.280586435993693e-05,1.6,1.296955333906966e-05,1.6,1.312298599229565e-05,1.6,1.341438148382407e-05,1.6,1.355465749102279e-05,1.6,1.369253233364432e-05,1.6,1.382864438820059e-05,1.6,1.396331501997771e-05,1.6,1.409680292762038e-05,1.6,1.422933211065876e-05,1.6,1.436104609312051e-05,1.6,1.44911001604203e-05,1.6,1.462137619767142e-05
1.8,1.457783343845018e-05,1.8,1.3688788223034e-05,1.8,1.390611297825383e-05,1.8,1.409331877075666e-05,1.8,1.426514568459138e-05,1.8,1.442583273465515e-05,1.8,1.472547984482314e-05,1.8,1.486873987957836e-05,1.8,1.500919781462602e-05,1.8,1.514743967011537e-05,1.8,1.528397432516158e-05,1.8,1.541913216938809e-05,1.8,1.555308215104764e-05,1.8,1.568603999571484e-05,1.8,1.581818778125533e-05,1.8,1.594683981644071e-05
2,1.581588787133076e-05,2,1.48812134337497e-05,2,1.511457411055534e-05,2,1.531286613240096e-05,2,1.54904597388236e-05,2,1.565768618471118e-05,2,1.596646352291531e-05,2,1.611260585127894e-05,2,1.625660840127082e-05,2,1.639705072226775e-05,2,1.6535441329591e-05,2,1.667226774270625e-05,2,1.680766358734077e-05,2,1.694192337662727e-05,2,1.707520135403695e-05,2,1.720767544439405e-05
2.2,1.698224761097322e-05,2.2,1.600430280884979e-05,2.2,1.625353388377346e-05,2.2,1.646254433091896e-05,2.2,1.664807035151401e-05,2.2,1.681862240443776e-05,2.2,1.713902886354568e-05,2.2,1.728733965288563e-05,2.2,1.743266301384908e-05,2.2,1.757504351148332e-05,2.2,1.771666191161625e-05,2.2,1.785501972224854e-05,2.2,1.799186409863085e-05,2.2,1.812738275504354e-05,2.2,1.8261775760119e-05,2.2,1.839524971928237e-05
2.4,1.807541509066472e-05,2.4,1.705726826671813e-05,2.4,1.732223558730116e-05,2.4,1.754147349517448e-05,2.4,1.773422408594882e-05,2.4,1.791046047326948e-05,2.4,1.823601308460536e-05,2.4,1.839078654506373e-05,2.4,1.853745491517719e-05,2.4,1.868182941101081e-05,2.4,1.882360440835378e-05,2.4,1.896501832728157e-05,2.4,1.910313661926411e-05,2.4,1.923981864816441e-05,2.4,1.937526059807241e-05,2.4,1.950967357834761e-05
2.6,1.90977525766994e-05,2.6,1.803990729238511e-05,2.6,1.831920994797507e-05,2.6,1.854793802528422e-05,2.6,1.874742502565402e-05,2.6,1.892877145687727e-05,2.6,1.92580171568835e-05,2.6,1.941590696394648e-05,2.6,1.956876726100987e-05,2.6,1.971374598523141e-05,2.6,1.985700761966527e-05,2.6,1.999798099826681e-05,2.6,2.013909510283425e-05,2.6,2.027677888665417e-05,2.6,2.041313566743609e-05,2.6,2.054838398360283e-05
2.8,2.004509167828852e-05,2.8,1.89516535252884e-05,2.8,1.924469154165506e-05,2.8,1.94815445391622e-05,2.8,1.968713453229124e-05,2.8,1.987265759433532e-05,2.8,2.02080915540199e-05,2.8,2.03642990546081e-05,2.8,2.052277091342879e-05,2.8,2.06707069909743e-05,2.8,2.081548902188048e-05,2.8,2.095601223887269e-05,2.8,2.109621820103317e-05,2.8,2.123460698065799e-05,2.8,2.137384584453282e-05,2.8,2.150977955268332e-05
